,City,Country,Date,Temperature,Humidity,Clouds,Wind_Speed,Latitude,Longitude
270,Kodinsk,RU,2018-12-21 08:53:49,-9.738400000000013,51,44,2.91,58.6,99.18
271,Kofele,ET,2018-12-21 08:53:50,63.61160000000001,32,56,2.36,7.07,38.78
272,Kommunar,RU,2018-12-21 08:30:00,8.599999999999966,92,75,5.0,59.62,30.39
273,Komsomolskiy,RU,2018-12-21 08:53:50,17.081600000000037,89,80,6.76,67.55,63.78
274,Kribi,CM,2018-12-21 08:53:50,86.92159999999996,69,32,1.66,2.94,9.91
275,Kropotkin,RU,2018-12-21 08:53:50,36.97159999999997,92,24,2.36,45.43,40.58
276,Kroya,ID,2018-12-21 08:53:50,74.00659999999999,93,64,1.31,-6.5,108.06
277,Kruisfontein,ZA,2018-12-21 08:53:51,75.22159999999991,67,68,7.61,-34.0,24.73
278,Kulynychi,UA,2018-12-21 08:30:00,28.399999999999977,92,90,4.0,49.98,36.38
279,Kunming,CN,2018-12-21 08:00:00,51.799999999999955,50,0,5.0,25.04,102.71
280,Kutum,SD,2018-12-21 08:53:51,72.97159999999991,14,0,4.71,14.2,24.66
281,Victoria,BN,2018-12-21 08:30:00,82.39999999999992,78,75,1.5,5.28,115.24
282,Lagoa,PT,2018-12-21 08:00:00,62.599999999999966,63,0,5.7,37.14,-8.45
283,Lagos,NG,2018-12-21 08:00:00,94.99999999999994,50,20,3.1,6.46,3.39
284,Laguna,MX,2018-12-21 07:56:00,44.599999999999966,87,5,3.1,27.52,-110.01
285,Lakatoro,VU,2018-12-21 08:53:52,77.29160000000007,100,76,1.16,-16.11,167.42
286,Lalin,CN,2018-12-21 08:00:00,24.799999999999955,85,90,3.0,45.23,126.86
287,Lasa,CY,2018-12-21 08:30:00,66.19999999999999,59,20,6.2,34.92,32.53
